koi_kepmag,disposition,pl_radj,koi_impact,pl_trandur,depth,pl_orbper,pl_eqt,st_teff,st_logg,st_rad,pl_insol,st_dist,discoverymethod,st_mass,st_dens,sy_kmag,release_date
16.422,1,0.9822464091355161,0.692,3.3169,0.015337,15.37562369,600.0,4986.0,4.496,0.833,30.54,,,,,,
15.289,1,0.1882415915781961,0.047,3.161,0.0008879,8.10363271,687.0,4861.0,4.574,0.732,52.82,,,,,,
15.289,1,0.13025247568917833,0.258,2.506,0.0004175,4.71510843,823.0,4861.0,4.574,0.732,108.84,,,,,,
15.09,1,0.21768221964492818,0.524,2.9721,0.0007807000000000001,6.365839713,914.0,5776.0,4.554,0.849,165.33,,,,,,
15.546,0,0.3443661343563208,0.941,3.065,0.0009624,5.97581754,1047.0,6108.0,4.471,0.997,284.25,,,,,,
15.021,0,2.341868141671871,1.241,4.7211,0.0011779000000000002,2.446737317,1261.0,5764.0,4.548,0.863,597.19,,,,,,
15.028,1,0.8020340797573379,0.736,1.8411,0.0108588,3.04033046,1021.0,5035.0,4.519,0.791,257.29,,,,,,
15.855,1,0.4460701222232135,0.773,3.897,0.0030814,15.33528675,610.0,5251.0,4.581,0.817,32.67,,,,,,
12.487,1,0.09456686591132127,0.706,4.377,5e-05,7.95825328,1074.0,5847.0,4.191,1.402,314.15,,,,,,
15.855,1,0.5798911588901775,0.798,5.176,0.0050738,31.33046135,481.0,5251.0,4.581,0.817,12.61,,,,,,
15.016,0,1.0955482201802123,0.709,3.831,0.0162284,3.9043425,1104.0,5810.0,4.526,0.898,351.05,,,,,,
15.365,0,1.5710589704701579,0.377,3.49949,0.0447914,9.286358079,796.0,5670.0,4.523,0.821,95.03,,,,,,
15.446,0,2.8048889285395666,1.276,2.1862,0.0024539,3.951405455,1133.0,6046.0,4.539,0.869,388.71,,,,,,
15.084,1,0.7038986528682308,0.008,8.2183,0.0033418000000000002,23.65369415,731.0,5739.0,4.191,1.384,67.65,,,,,,
15.084,1,0.27299491480060667,0.014,6.7372,0.0005046,13.23352214,888.0,5739.0,4.191,1.384,146.67,,,,,,
15.084,1,0.20697653671157104,0.235,4.9843,0.000285,6.15560285,1146.0,5739.0,4.191,1.384,406.94,,,,,,
15.084,1,0.14452671960032118,0.746,3.388,0.00011590000000000001,2.090811305,1642.0,5739.0,4.191,1.384,1718.04,,,,,,
12.487,1,0.13649745740030333,0.196,3.5797,0.0001203,3.180027898,1458.0,5847.0,4.191,1.402,1066.86,,,,,,
15.084,1,0.238201445267196,0.379,7.159,0.0003703,50.4467417,568.0,5739.0,4.191,1.384,24.64,,,,,,
15.208,1,0.20965295744491036,0.048,2.9076,0.0010373,11.76307164,616.0,4959.0,4.603,0.756,33.99,,,,,,
15.208,1,0.2114372379338032,0.7,3.57,0.0008627000000000001,56.2279271,366.0,4959.0,4.603,0.756,4.22,,,,,,
15.836,0,1.5219912570256044,1.178,3.0918,0.0012680999999999999,2.384052875,1010.0,4794.0,4.58,0.701,244.87,,,,,,
15.66,1,0.20073155500044607,0.3,2.6312,0.0008754,7.953547,696.0,4768.0,4.536,0.779,55.37,,,,,,
15.66,1,0.1320367561780712,0.004,2.3421,0.00039180000000000004,4.14451656,864.0,4768.0,4.536,0.779,132.08,,,,,,
15.311,0,3.4195735569631545,1.259,2.2757,0.0060443,4.859386384,1114.0,6072.0,4.47,0.988,364.23,,,,,,
15.305,1,0.7351235614238558,0.644,2.5211,0.009768,10.526294577,713.0,5386.0,4.553,0.793,61.16,,,,,,
15.287,1,0.48086359175662413,0.045,2.7055,0.0038121,4.583520948,1038.0,5815.0,4.54,0.877,274.98,,,,,,
15.257,1,0.2373093050227496,0.926,3.5176,0.0005106,3.76181843,1121.0,5653.0,4.472,0.949,372.62,,,,,,
15.376,1,0.26853421357837454,0.823,2.9667,0.0010244000000000002,8.20396958,742.0,5015.0,4.499,0.826,71.5,,,,,,
15.376,1,0.26853421357837454,0.97,4.016,0.0006475,14.49645186,613.0,5015.0,4.499,0.826,33.48,,,,,,
15.855,1,0.1953787135337675,0.644,2.75,0.0006559,6.54626149,810.0,5251.0,4.581,0.817,101.78,,,,,,
15.389,1,0.20608439646712465,0.427,3.0957,0.0011494,12.71809866,562.0,4702.0,4.592,0.686,23.6,,,,,,
15.389,1,0.23552502453385674,0.26,4.3246,0.0015638,36.06588163,397.0,4702.0,4.592,0.686,5.88,,,,,,
15.27,1,0.5540190918012312,0.458,2.8589,0.0028774,4.190425659,1234.0,6073.0,4.392,1.135,547.9,,,,,,
15.581,1,0.38808100633419573,0.023,3.0694,0.0020203,3.709870784,1151.0,5727.0,4.463,0.978,415.1,,,,,,
15.447,1,0.33455259166741014,0.791,6.271,0.0011875,16.3297527,727.0,5878.0,4.444,0.987,66.08,,,,,,
15.482,1,1.234722098313855,0.782,4.21587,0.0253911,27.807566216,554.0,5862.0,4.584,0.785,22.24,,,,,,
15.201,1,0.677134445534838,0.527,11.195,0.0036046,80.8723469,452.0,5510.0,4.222,1.238,9.88,,,,,,
15.999,0,2.3927201356053174,1.266,2.9381,0.0043571999999999994,3.166465862,954.0,4968.0,4.575,0.704,196.31,,,,,,
12.377,1,0.20430011597823178,0.686,5.9409,0.00026960000000000005,24.99324319,712.0,5718.0,4.181,1.317,60.88,,,,,,
15.018,1,0.2203586403782675,0.029,3.1775,0.0007506,10.35533116,777.0,5501.0,4.462,0.918,86.22,,,,,,
15.219,1,0.32830760995628516,0.867,3.984,0.0014424000000000001,16.08518937,613.0,5239.0,4.523,0.826,33.43,,,,,,
15.172,1,0.9447765188687662,0.778,8.2284,0.0207146,235.9986399,188.0,4245.0,4.627,0.657,0.29,,,,,,
15.599,1,0.2283879025782853,0.02,2.7297,0.0011236,7.49018305,753.0,5103.0,4.562,0.787,76.06,,,,,,
15.599,1,0.2703184940672674,0.035,4.7865,0.0015726,36.2761238,445.0,5103.0,4.562,0.787,9.29,,,,,,
15.599,1,0.20697653671157104,0.594,2.2641,0.0008124,17.46087931,568.0,5103.0,4.562,0.787,24.6,,,,,,
15.849,1,0.17307520742260685,0.018,4.685,0.001626,56.0560754,233.0,3593.0,4.757,0.491,0.69,,,,,,
15.196,1,1.015255598180034,0.377,5.0264,0.022838900000000002,41.408316686,453.0,5522.0,4.586,0.747,9.93,,,,,,
15.344,1,1.2677312873583728,0.881,7.3051,0.0151789,39.74893077,552.0,6122.0,4.487,0.964,21.87,,,,,,
15.086,1,0.2203586403782675,0.348,2.5242,0.0009081,5.715425977,850.0,5237.0,4.572,0.826,123.03,,,,,,
12.654,1,0.7315550004460701,0.035,11.3364,0.0016462,49.18394185,669.0,5626.0,3.907,2.057,47.4,,,,,,
15.086,1,0.20340797573378533,0.957,1.611,0.0004212,20.0261412,559.0,5237.0,4.572,0.826,23.14,,,,,,
15.06,1,1.6968507449371042,1.081,2.594,0.0057329,13.61014819,733.0,5697.0,4.46,0.903,68.29,,,,,,
15.546,0,0.2373093050227496,0.23,2.743,0.0011598,10.44331991,667.0,4947.0,4.516,0.802,46.94,,,,,,
15.001,1,0.1257917744669462,0.128,1.8119,0.00031580000000000003,2.237489571,1160.0,5265.0,4.58,0.81,427.17,,,,,,
15.33,0,1.3043090373806763,0.211,3.11058,0.0330036,5.851520671,901.0,5532.0,4.53,0.806,155.89,,,,,,
15.533,1,0.2337407440449639,0.026,2.1814,0.0007812,3.167893418,1221.0,5895.0,4.503,0.94,526.23,,,,,,
15.604,1,0.2774556160228388,0.196,2.7251,0.001154,4.311780262,1038.0,5527.0,4.484,0.927,274.84,,,,,,
15.604,1,0.23998572575608887,0.383,4.556,0.0008409,20.0504494,622.0,5527.0,4.484,0.927,35.44,,,,,,
15.604,1,0.238201445267196,0.9,1.6585,0.0005691,9.76734503,791.0,5527.0,4.484,0.927,92.46,,,,,,
15.085,1,0.8011419395128915,0.076,8.1405,0.0074305,119.0207044,366.0,5453.0,4.342,1.062,4.25,,,,,,
12.654,1,0.6940851101793203,0.812,15.284,0.0011417,190.3200468,426.0,5626.0,3.907,2.057,7.8,,,,,,
15.618,0,0.38986528682308863,0.965,1.8832,0.0010142999999999999,2.861159894,1355.0,6126.0,4.458,1.021,797.1,,,,,,
15.158,1,0.348826835578553,0.03,3.9783,0.0018435,26.44439337,562.0,5427.0,4.463,0.929,23.54,,,,,,
15.158,1,0.49156927468998124,0.183,6.3994,0.0036443,51.53997972,450.0,5427.0,4.463,0.929,9.67,,,,,,
15.158,1,0.21679007940048178,0.209,2.9003,0.0007023,5.902245782,926.0,5427.0,4.463,0.929,173.74,,,,,,
15.158,1,0.16593808546703542,0.479,1.8876,0.00039160000000000003,2.382951591,1253.0,5427.0,4.463,0.929,583.01,,,,,,
15.859,1,0.27388705504505306,0.036,4.1072,0.0017725,21.02250608,521.0,5067.0,4.585,0.75,17.48,,,,,,
15.599,1,0.15077170131144615,0.06,2.0642,0.0004882,3.219814777,998.0,5103.0,4.562,0.787,234.93,,,,,,
15.036,1,0.15434026228923187,0.17,2.3254,0.0009614,5.912273234,585.0,4072.0,4.696,0.57,27.72,,,,,,
15.036,1,0.14720314033366044,0.008,2.8606,0.0008813,8.98581901,509.0,4072.0,4.696,0.57,15.9,,,,,,
15.215,1,2.0465697207601035,0.897,2.4845,0.04245,12.940668656,723.0,5875.0,4.572,0.809,64.64,,,,,,
12.003,0,0.2150057989115889,0.95,2.517,0.0002185,20.5452375,742.0,5670.0,4.206,1.264,71.57,,,,,,
15.262,1,0.7547506468016774,0.67,4.4056,0.0074259,33.60123371,495.0,5149.0,4.447,0.93,14.22,,,,,,
15.262,1,0.1757516281559461,0.429,2.9004,0.0004507,6.76652928,845.0,5149.0,4.447,0.93,120.48,,,,,,
15.024,1,0.21054509768935675,0.025,2.1024,0.0004516,4.347288783,1174.0,5754.0,4.345,1.122,449.79,,,,,,
15.024,1,0.20965295744491036,0.567,2.2607,0.0007559,4.601811819,896.0,4986.0,4.496,0.833,152.91,,,,,,
15.024,1,0.13828173788919618,0.387,3.252,0.00035360000000000003,11.18719905,667.0,4986.0,4.496,0.833,46.65,,,,,,
15.692,1,0.2337407440449639,0.705,3.0854,0.00226,4.220965778,595.0,3837.0,4.747,0.517,29.68,,,,,,
15.877,0,52.51672762958337,7.361,2.0488,0.020285,6.998099523,853.0,5612.0,4.566,0.829,125.22,,,,,,
15.019,1,0.2078686769560175,0.327,2.3892,0.0014107,5.95489993,635.0,4261.0,4.641,0.633,38.52,,,,,,
15.019,1,0.1944865732893211,0.286,2.7363,0.0012506,12.03987488,502.0,4261.0,4.641,0.633,15.06,,,,,,
15.019,1,0.12668391471139262,0.706,2.3734,0.000439,20.83762895,418.0,4261.0,4.641,0.633,7.24,,,,,,
12.759,0,5.679364796145954,1.223,5.0683,0.00040110000000000005,8.8111022,1399.0,6200.0,3.8,2.404,904.92,,,,,,
15.316,1,0.28191631724507094,0.926,5.073,0.0012007,23.58917143,487.0,4919.0,4.566,0.721,13.34,,,,,,
12.365,1,0.22660362208939247,0.833,3.784,0.0002985,6.481633073,1145.0,5945.0,4.213,1.302,406.25,,,,,,
15.193,1,0.2854848782228567,0.537,3.035,0.0012549000000000002,10.37168928,720.0,5121.0,4.457,0.888,63.68,,,,,,
15.193,1,0.158800963511464,0.836,1.1757,0.0002992,3.96996298,992.0,5121.0,4.457,0.888,229.37,,,,,,
15.662,1,0.2373093050227496,0.899,5.012,0.0005494,4.40841331,1139.0,6007.0,4.457,0.961,398.0,,,,,,
